api_uri,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
https://api.propublica.org/congress/v1/members/R000595.json,www.rubio.senate.gov/public/,,SenatorMarcoRubio,178910518800987,Marco,/m/0dpr5f,R000595,,Rubio,,0,0.00,2022,R,http://www.rubio.senate.gov/public/?a=rss.feed,7,FL,0,72,SenRubioPress,http://www.rubio.senate.gov,95.83
https://api.propublica.org/congress/v1/members/R000605.json,,,SenatorMikeRounds,,Mike,/m/020z2p,R000605,,Rounds,,0,0.00,2020,R,,3,SD,0,72,SenatorRounds,http://www.rounds.senate.gov,98.61
https://api.propublica.org/congress/v1/members/S000033.json,www.sanders.senate.gov,,senatorsanders,9124187907,Bernard,/m/01_gbv,S000033,,Sanders,,3,4.17,2018,I,http://www.sanders.senate.gov/rss/feeds/?press,11,VT,0,72,SenSanders,https://www.sanders.senate.gov,92.75
https://api.propublica.org/congress/v1/members/S000148.json,www.schumer.senate.gov,,chuckschumer,15771239406,Charles,/m/01w74d,S000148,,Schumer,E.,0,0.00,2022,D,,19,NY,0,72,SenSchumer,https://www.schumer.senate.gov,95.83
https://api.propublica.org/congress/v1/members/S000320.json,www.shelby.senate.gov,,RichardShelby,50850514797,Richard,/m/020yj1,S000320,,Shelby,C.,0,0.00,2022,R,,31,AL,0,72,SenShelby,http://www.shelby.senate.gov,98.61
https://api.propublica.org/congress/v1/members/S000770.json,www.stabenow.senate.gov,,,,Debbie,/m/01xh64,S000770,,Stabenow,,0,0.00,2018,D,,17,MI,0,72,SenStabenow,http://www.stabenow.senate.gov,100.00
https://api.propublica.org/congress/v1/members/S001141.json,sessions.senate.gov,,jeffsessions,23444159584,Jeff,/m/020yjg,S001141,,Sessions,,39,65.00,2020,R,,21,AL,2,60,SenatorSessions,http://www.sessions.senate.gov/public,90.48
https://api.propublica.org/congress/v1/members/S001181.json,www.shaheen.senate.gov,,SenatorShaheen,127503767282103,Jeanne,/m/01rrm2,S001181,,Shaheen,,0,0.00,2020,D,,9,NH,0,72,SenatorShaheen,https://www.shaheen.senate.gov,97.22
https://api.propublica.org/congress/v1/members/S001184.json,scott.senate.gov,,SenatorTimScott,163207553711385,Tim,/m/0c407g6,S001184,,Scott,,0,0.00,2022,R,https://www.scott.senate.gov/rss.xml,5,SC,0,72,SenatorTimScott,https://www.scott.senate.gov,98.61
https://api.propublica.org/congress/v1/members/S001194.json,,,SenBrianSchatz,357806137657533,Brian,/m/0dd109,S001194,,Schatz,,0,0.00,2022,D,http://www.schatz.senate.gov/rss/feeds/?press,5,HI,0,72,SenBrianSchatz,http://www.schatz.senate.gov,95.83
https://api.propublica.org/congress/v1/members/S001197.json,www.sasse.senate.gov,,SenatorSasse,,Ben,/m/0j5wk_6,S001197,,Sasse,,1,1.39,2020,R,http://www.sasse.senate.gov/public/?a=rss.feed,3,NE,0,72,SenSasse,http://www.sasse.senate.gov/public,97.18
https://api.propublica.org/congress/v1/members/S001198.json,,,SenDanSullivan,,Dan,/m/07s4r4q,S001198,,Sullivan,,0,0.00,2020,R,,3,AK,0,72,SenDanSullivan,http://www.sullivan.senate.gov,100.00
https://api.propublica.org/congress/v1/members/S001202.json,,,,,Luther,,S001202,,Strange,,0,0.00,2020,R,,1,AL,0,12,,,100.00
https://api.propublica.org/congress/v1/members/T000250.json,,,,,John,/m/03ybyn,T000250,,Thune,,0,0.00,2022,R,http://www.thune.senate.gov/public/?a=RSS.Feed,13,SD,0,72,SenJohnThune,https://www.thune.senate.gov,98.61
https://api.propublica.org/congress/v1/members/T000461.json,,,senatortoomey,189274047751251,Patrick,/m/02_kk7,T000461,,Toomey,J.,1,1.39,2022,R,http://www.toomey.senate.gov/rss/,7,PA,0,72,SenToomey,http://www.toomey.senate.gov,97.18
https://api.propublica.org/congress/v1/members/T000464.json,www.tester.senate.gov,,senatortester,210573031664,Jon,/m/066cdp,T000464,,Tester,,0,0.00,2018,D,http://www.tester.senate.gov/rss/,11,MT,0,72,SenatorTester,http://www.tester.senate.gov,94.44
https://api.propublica.org/congress/v1/members/T000476.json,www.tillis.senate.gov,,SenatorThomTillis,1576257352609470,Thom,/m/0fq0395,T000476,,Tillis,,5,6.94,2020,R,,3,NC,0,72,senthomtillis,https://www.tillis.senate.gov/public/index.cfm/home,100.00
https://api.propublica.org/congress/v1/members/U000039.json,,,senatortomudall,106433512869,Tom,/m/033t35,U000039,,Udall,,1,1.39,2020,D,http://www.tomudall.senate.gov/rss/,10,NM,0,72,SenatorTomUdall,http://www.tomudall.senate.gov,92.96
https://api.propublica.org/congress/v1/members/V000128.json,www.vanhollen.senate.gov,,chrisvanhollen,109304033877,Chris,/m/025kb5,V000128,,Van Hollen,,0,0.00,2022,D,,1,MD,0,72,ChrisVanHollen,https://www.vanhollen.senate.gov,95.83
https://api.propublica.org/congress/v1/members/W000437.json,wicker.senate.gov,,SenatorWicker,158401580882385,Roger,/m/025xxb,W000437,,Wicker,,0,0.00,2018,R,,11,MS,0,72,SenatorWicker,http://www.wicker.senate.gov,95.83
https://api.propublica.org/congress/v1/members/W000779.json,www.wyden.senate.gov,,,,Ron,/m/0178p9,W000779,,Wyden,,0,0.00,2022,D,,22,OR,0,72,RonWyden,https://www.wyden.senate.gov,94.44
https://api.propublica.org/congress/v1/members/W000802.json,www.whitehouse.senate.gov,,SenatorWhitehouse,194172833926853,Sheldon,/m/07qw94,W000802,,Whitehouse,,0,0.00,2018,D,https://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,11,RI,0,72,SenWhitehouse,https://www.whitehouse.senate.gov,97.22
https://api.propublica.org/congress/v1/members/W000805.json,www.warner.senate.gov/public/,,MarkRWarner,7935122852,Mark,/m/024mm1,W000805,,Warner,,3,4.17,2020,D,http://www.warner.senate.gov/public/?a=RSS.TaggedFeed&amp;Type=PressReleases,9,VA,0,72,MarkWarner,http://www.warner.senate.gov,91.30
https://api.propublica.org/congress/v1/members/W000817.json,www.warren.senate.gov,,senatorelizabethwarren,131559043673264,Elizabeth,/m/01qh39,W000817,,Warren,,0,0.00,2018,D,http://www.warren.senate.gov/rss/,5,MA,0,72,SenWarren,http://www.warren.senate.gov,93.06
https://api.propublica.org/congress/v1/members/Y000064.json,www.young.senate.gov,,RepToddYoung,186203844738421,Todd,/m/0ds030m,Y000064,,Young,,0,0.00,2022,R,,1,IN,0,72,RepToddYoung,https://www.young.senate.gov,100.00
